"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"LAX","JFK","1137","2010",
2017-01-01,"JFK","TPA","1738","2032",
2017-01-01,"JFK","RSW","2237","0130",
2017-01-01,"JFK","PBI","0533","0817",
2017-01-01,"PBI","JFK","0907","1135",
2017-01-01,"BUR","JFK","2126","0535",
2017-01-01,"JFK","BUR","1719","2037",
2017-01-01,"PBI","LGA","1255","1545",
2017-01-01,"LGA","FLL","0615","0911",
2017-01-01,"JFK","MCO","1316","1605",
2017-01-01,"JFK","DAB","0829","1052",
2017-01-01,"HPN","MCO","1021","1259",
2017-01-01,"MCO","LGA","1225","1452",
2017-01-01,"FLL","JFK","1721","2025",
2017-01-01,"JFK","SJU","1202","1627",
2017-01-01,"JFK","LAS","0810","1136",
2017-01-01,"JFK","SFO","0958","1315",
2017-01-01,"BOS","JFK","1454","1607",
2017-01-01,"JFK","BOS","2052","2210",
2017-01-01,"LAX","JFK","1313","2116",
2017-01-01,"JFK","TPA","0607","0853",
2017-01-01,"TPA","JFK","2119","2343",
2017-01-01,"JFK","RSW","0527","0838",
2017-01-01,"RSW","JFK","0923","1148",
2017-01-01,"SWF","MCO","1707","1959",
2017-01-01,"JFK","PBI","0753","1100",
2017-01-01,"PBI","JFK","1733","2015",
2017-01-01,"LGA","PBI","0718","1034",
2017-01-01,"JFK","JAX","1424","1656",
2017-01-01,"JAX","JFK","1755","1952",
2017-01-01,"JFK","ROC","2309","0016",
2017-01-01,"BUF","LAX","1843","2122",
2017-01-01,"LAX","BUF","2231","0553",
2017-01-01,"LGA","MCO","2105","2341",
2017-01-01,"DAB","JFK","1214","1416",
2017-01-01,"FLL","JFK","1014","1254",
2017-01-01,"LGB","JFK","1401","2217",
2017-01-01,"JFK","BOS","1154","1304",
2017-01-01,"JFK","LAX","1219","1530",
2017-01-01,"LAX","JFK","1432","2228",
2017-01-01,"JFK","TPA","1021","1312",
2017-01-01,"TPA","JFK","1358","1621",
2017-01-01,"SWF","FLL","1914","2220",
2017-01-01,"FLL","SWF","1542","1846",
2017-01-01,"TPA","HPN","1710","1947",
2017-01-01,"JFK","PBI","1602","1858",
2017-01-01,"JFK","MSY","1348","1608",
2017-01-01,"MSY","JFK","1704","2051",
2017-01-01,"JFK","HOU","1556","1908",
2017-01-01,"HOU","JFK","1300","1701",
2017-01-01,"MCO","JFK","0922","1139",
2017-01-01,"ROC","JFK","1844","1948",
2017-01-01,"JFK","MCO","0704","0953",
2017-01-01,"JFK","FLL","0601","0906",
2017-01-01,"JFK","LAS","2011","2251",
2017-01-01,"SFO","JFK","1444","2258",
2017-01-01,"JFK","LAX","1554","1928",
2017-01-01,"JFK","PBI","1349","1636",
2017-01-01,"PBI","JFK","1015","1254",
2017-01-01,"SYR","MCO","1942","2237",
2017-01-01,"MCO","SYR","1603","1856",
2017-01-01,"JFK","SJC","1850","2246",
2017-01-01,"SJC","JFK","2142","0545",
2017-01-01,"FLL","LGA","1834","2116",
2017-01-01,"JFK","MSY","0609","0828",
2017-01-01,"JFK","JAX","0740","1011",
2017-01-01,"JAX","JFK","1109","1311",
2017-01-01,"EWR","BUF","0755","0937",
2017-01-01,"LGA","CLE","2045","2209",
2017-01-01,"EWR","BUF","2038","2203",
2017-01-01,"LGA","CLE","1315","1453",
2017-01-01,"CLE","LGA","1848","2012",
2017-01-01,"ROC","EWR","1934","2044",
2017-01-01,"BUF","EWR","0554","0705",
2017-01-01,"HNL","JFK","1626","0640",
2017-01-01,"JFK","HNL","1007","1621",
2017-01-01,"FLL","LGA","1632","1904",
2017-01-01,"FLL","LGA","1138","1418",
2017-01-01,"LGA","FLL","1225","1508",
2017-01-01,"MCO","IAG","0754","1027",
